year,life_expectancy
1960,45.61
1961,45.82
1962,46.13
1963,46.46
1964,46.74
1965,45.56
1966,45.88
1967,46.18
1968,47.92
1969,48.26
1970,48.59
1971,48.9
1972,49.21
1973,49.64
1974,50.26
1975,50.76
1976,51.3
1977,51.82
1978,52.42
1979,53.01
1980,53.59
1981,54.17
1982,54.73
1983,55.28
1984,55.81
1985,56.32
1986,56.82
1987,57.29
1988,57.74
1989,58.2
1990,58.62
1991,59.03
1992,59.45
1993,59.82
1994,60.24
1995,60.63
1996,61.03
1997,61.44
1998,61.85
1999,62.28
2000,62.75
2001,63.16
2002,63.65
2003,64.09
2004,64.48
2005,64.94
2006,65.37
2007,65.8
2008,66.25
2009,66.7
2010,67.16
2011,67.62
2012,68.08
2013,68.5
2014,68.93
2015,69.33
2016,69.71
2017,70.07
2018,70.42
2019,70.75
2020,70.16
2021,67.28
2022,71.7
2023,72.0
2024,72.23
